,postalCode,RestCount,afact,popsum,NP,RMSP,VALP,HINCP
1921,36106,4,1.0,15211.0,2.0,6.0,130000.0,52200.0
1922,36107,2,1.0,9589.0,2.0,6.0,130000.0,52200.0
1923,36116,4,1.0,43790.0,2.0,6.0,130058.0,52217.4
1924,36201,1,1.0,20156.0,2.0,6.0,130000.0,49700.0
1925,36203,4,1.0,18799.0,2.0,6.0,135360.0,50316.4
1926,36206,1,1.0,11427.0,2.0,6.0,130000.0,49700.0
1927,36207,1,1.0,19801.0,2.0,6.0,130000.0,49700.0
1928,36301,1,1.0,35759.0,2.0,6.0,145000.0,52290.0
1929,36303,4,1.0,30217.0,2.0,6.0,145000.0,52290.0
1930,36305,2,1.0,14470.0,2.0,6.0,145000.0,52290.0
1931,36330,1,1.0,35530.0,2.0,5.999999999999999,149555.0,51570.30999999999
1932,36420,1,1.0,10673.0,2.0,6.0,149625.0,51504.5
1933,36526,2,1.0,27890.0,2.0,6.0,140000.0,55000.0
1934,36532,5,1.0,27829.0,2.0,6.0,140000.0,55000.0
1935,36542,3,1.0,12705.0,2.0,6.0,140000.0,55000.0
1936,36545,1,1.0,9941.0,2.0,6.0,125000.0,51800.0
1937,36561,1,1.0,5808.0,2.0,6.0,140000.0,55000.0
1938,36571,3,1.0,14423.0,2.0,6.0,168384.0,59689.8
1939,36575,1,1.0,18345.0,2.0,6.0,166225.0,60000.0
1940,36602,2,1.0,1057.0,2.0,6.0,177000.0,58900.0
1941,36606,1,1.0,18733.0,2.0,6.0,177000.0,58900.0
1942,36607,3,1.0,6852.0,2.0,6.0,177000.0,58900.0
1943,36608,2,1.0,36864.0,2.0,6.0,184500.0,60000.0
1944,36609,1,1.0,25846.0,2.0,6.0,190000.0,60000.0
1945,36617,1,1.0,13967.0,2.0,6.0,177000.0,58900.0
1946,36618,1,1.0,16737.000000000004,2.0,6.000000000000001,189975.00000000003,60000.00000000001
1947,36619,1,1.0,14269.0,2.0,6.0,165000.0,60000.0
1948,36693,1,1.0,17847.0,2.0,6.000000000000001,189441.0,59952.7
1949,36732,1,1.0,8395.0,2.0,6.0,150000.0,55020.0
1950,36744,1,1.0,7419.0,2.0,6.0,150000.0,55020.0
1951,36801,2,1.0,22214.0,2.0,6.0,144760.0,54125.6
1952,36830,2,1.0,33201.0,2.0,6.0,145308.0,54263.8
1953,36832,3,1.0,22071.0,2.0,6.0,145000.0,54200.0
1954,36853,1,1.0,8269.0,2.0,6.0,125000.0,48000.0
1955,36867,1,1.0,22210.0,2.0,6.0,156312.0,56543.2
1956,37013,1,1.0,78406.0,2.0,6.0,166833.0,63992.85000000001
1957,37027,5,1.0,49035.0,2.0,6.024,153861.5,57140.05
1958,37030,1,1.0,6982.0,2.0,6.0,135500.0,50065.0
1959,37040,1,1.0,44924.0,2.0,6.0,150000.0,51000.0
1960,37042,2,1.0,66916.0,2.0,6.0,150000.0,51000.0
1961,37043,1,1.0,39945.0,2.0,6.0,150000.0,51006.0
1962,37055,4,1.0,27024.0,2.0,6.0,150000.0,52200.0
1963,37062,1,1.0,10745.0,2.0,6.0,140120.0,54966.4
1964,37064,2,1.0,48118.00000000001,2.0,6.001,140175.00000000006,55036.80000000001
1965,37066,3,1.0,42758.0,2.0,6.0,160000.0,52000.0
1966,37067,4,1.0,23652.0,2.0,6.0,140000.0,55000.0
1967,37069,2,1.0,18899.0,2.0,6.0,140000.0,55000.0
1968,37072,1,1.0,30215.0,2.0,5.488,179430.0,54069.0
1969,37074,1,1.0,6965.0,2.0,6.0,135500.0,50065.0
1970,37075,4,1.0,59256.0,2.0,6.0,160000.0,52000.0
1971,37076,2,1.0,35230.000000000015,2.0,6.000000000000001,150000.0,64643.075
1972,37078,1,1.0,674.0,2.0,6.0,150000.0,51802.8
1973,37080,1,1.0,7384.0,2.0,5.4540000000000015,177300.0,54274.8
1974,37082,1,1.0,6107.0,2.0,6.0,150000.0,52200.0
1975,37087,1,1.0,41132.0,2.0,6.0,149565.0,51456.95
1976,37090,3,1.0,12922.0,2.0,6.000000000000001,149304.0,51431.12
1977,37091,1,1.0,21005.0,2.0,6.0,120000.0,47800.0
1978,37115,1,1.0,37316.0,2.0,5.0,200000.0,56000.0
1979,37122,4,1.0,46463.00000000001,2.0,5.98,150200.0,51510.275
1980,37128,2,1.0,38966.0,2.0,5.8889999999999985,160000.0,57112.0
1981,37129,2,1.0,49103.0,2.0,5.506,160000.0,54048.0
1982,37148,2,1.0,22320.0,2.0,6.0,159650.0,52007.0
1983,37160,2,1.0,32744.0,2.0,6.0,120040.0,47832.0
1984,37166,1,1.0,13446.0,2.0,6.0,135500.0,50065.0
1985,37167,4,1.0,49322.0,2.0,5.0,160000.0,50000.0
1986,37172,2,1.0,28714.0,2.0,6.0,150000.0,52200.0
1987,37174,1,1.0,26418.0,2.0,6.0,131200.0,51832.0
1988,37185,1,1.0,8638.0,2.0,6.0,150000.0,51800.0
1989,37201,2,1.0,2137.0,2.0,5.0,182500.0,45250.0
1990,37203,10,1.0,11883.0,2.0,6.231000000000001,258358.50000000003,73228.45000000001
1991,37204,1,1.0,12031.0,2.0,6.922999999999999,305875.5,89532.34999999998
1992,37206,1,1.0,25699.0,2.0,5.0,182500.0,45250.0
1993,37207,2,1.0,34880.0,2.0,5.0,193875.0,52237.5
1994,37208,1,1.0,16067.0,2.0,5.0,182500.0,45250.0
1995,37209,1,1.0,35457.0,2.0,6.028,250605.0,69176.70000000001
1996,37211,1,1.0,74755.0,2.0,5.9929999999999986,194077.0,62359.05
1997,37212,1,1.0,20148.000000000004,2.0,6.9780000000000015,313542.5000000001,91287.95
1998,37214,3,1.0,28973.0,2.0,6.0,150000.0,64925.0
1999,37215,1,1.0,21190.0,2.0,6.997000000000001,314475.0,91689.6
2000,37217,4,1.0,29599.0,2.0,5.5790000000000015,163682.5,56641.825
2001,37219,1,1.0,1162.0,2.0,5.0,182500.0,45250.0
2002,37221,3,1.0,36610.0,2.0,6.942,304850.0,89665.6
